city,latitude,longitude
Dabrowa Bialostocka,53.65364, 23.34792
Dabrowa Gornicza,50.31818, 19.2374
Dabrowa Tarnowska,50.17462, 20.98633
Darlowo,54.42095, 16.4107
Debica,50.05146, 21.41141
Deblin,51.55912, 21.84829
Debno,52.73901, 14.698
Debrzno,53.53817, 17.23643
Dobczyce,49.88109, 20.08936
Dobre Miasto,53.98668, 20.39749
Drawsko Pomorskie,53.53056, 15.80967
Drezdenko,52.83831, 15.83079
Dynow,49.81506, 22.23388
Dzialdowo,53.23958, 20.17004
Dzialoszyn,51.11699, 18.86524
Dzierzgon,53.92196, 19.34705
Dzierzoniow,50.7282, 16.65141
Elblag,54.1522, 19.40884
Elk,53.82824, 22.36469
Fordon,53.14821, 18.17036
Garwolin,51.89747, 21.61466
Gdansk,54.35205, 18.64637
Gdynia,54.51889, 18.53188
Gierloz,54.08134, 21.49551
Gizycko,54.03811, 21.76441
Gliwice,50.29761, 18.67658
Glogow,51.66361, 16.0845
Glogow Malopolski,50.15122, 21.96287
Glogowek,50.35355, 17.86405
Glowno,51.96463, 19.71565
Glubczyce,50.20086, 17.82858
Glucholazy,50.31505, 17.38355
Gluszyca,50.68743, 16.37173
Gniew,53.83602, 18.8231
Gniewkowo,52.89461, 18.40785
Gniezno,52.53481, 17.58259
Goczalkowice Zdroj,49.94454, 18.96927
Gogolin,50.49222, 18.01994
Goldap,54.30631, 22.30362
Goleniow,53.56392, 14.82854
Golub Dobrzyn,53.11087, 19.05381
Gora,51.66638, 16.53494
Gora Kalwaria,51.97653, 21.21537
Gorlice,49.65563, 21.16035
Gorzow Wielkopolski,52.73679, 15.22878
Gorzyce,50.6672, 21.84013
Goscicino,54.60459, 18.15491
Gostyn,51.88247, 17.01225
Gostynin,52.42938, 19.46194
Grajewo,53.64728, 22.45537
Grodkow,50.69836, 17.38449
Grodzisk Mazowiecki,52.10387, 20.6337
Grodzisk Wielkopolski,52.22762, 16.36534
Grojec,51.86252, 20.86757
Grudki,53.09488, 23.66848
Grudziadz,53.48411, 18.75366
Grybow,49.62439, 20.94797
Gryfice,53.9165, 15.20027
Gryfino,53.25243, 14.48831
Gryfow Slaski,51.03081, 15.42017
Gubin,51.94956, 14.72837
Hajnowka,52.74328, 23.58122
Hrubieszow,50.80502, 23.89251
Ilawa,53.59601, 19.56849
Ilza,51.16313, 21.23979
Imielin,50.14534, 19.18599
Inowroclaw,52.79886, 18.26387
Jablonna,52.37885, 20.91745
Janikowo,52.75328, 18.11328
Janow Lubelski,50.70695, 22.41039
Janowiec Wielkopolski,52.75583, 17.48981
Jarocin,51.97266, 17.50256
Jaroslaw,50.01623, 22.67776
Jaslo,49.74506, 21.47252
Jastrowie,53.42048, 16.81756
Jastrzebie Zdroj,49.95542, 18.57479
Jawor,51.05132, 16.19347
Jaworze,49.79351, 18.9479
Jaworzno,50.20528, 19.27498
Jaworzyna Slaska,50.9134, 16.43241
Jedlicze,49.71749, 21.64886
Jedlina Zdroj,50.72005, 16.34645
Jedrzejow,50.63945, 20.30454
Jelcz,51.02102, 17.32095
Jelcz Laskowice,51.02134, 17.31649
Jelenia Gora,50.89973, 15.72899
Jezowe,50.37486, 22.12749
Jordanow,49.64935, 19.82981
Jozefow,52.13707, 21.23589
Kabaty,52.13012, 21.08148
Kalisz,51.76109, 18.09102
Kamien Pomorski,53.96849, 14.77262
Kamienna Gora,50.78314, 16.03037
Karczew,52.07655, 21.24962
Kartuzy,54.33424, 18.19735
Katowice,50.25841, 19.02754
Kedzierzyn Kozle,50.34984, 18.22606
Kepno,51.2784, 17.98908
Ketrzyn,54.07676, 21.37527
Kety,49.88214, 19.22333
Kielce,50.87033, 20.62752
Klobuck,50.90081, 18.93674
Klodzko,50.43488, 16.66145
Kluczbork,50.97281, 18.21816
Knurow,50.21971, 18.65067
Kobylka,52.33953, 21.19589
Kolbuszowa,50.2441, 21.7761
Kolno,53.41148, 21.92905
Kolo,52.20024, 18.63865
Kolobrzeg,54.17565, 15.58342
Koluszki,51.73872, 19.81994
Konin,52.22338, 18.25121
Konskie,51.19166, 20.40607
Konstancin Jeziorna,52.0938, 21.11761
Konstantynow Lodzki,51.74776, 19.32564
Koronowo,53.3137, 17.93698
Koscian,52.08829, 16.64866
Koscierzyna,54.12226, 17.98119
Kostrzyn,52.39847, 17.22811
Kostrzyn Nad Odra,52.58713, 14.64953
Koszalin,54.19438, 16.17222
Kowary,50.79313, 15.83559
Kozienice,51.58294, 21.54779
Kozle,50.3356, 18.14332
Kozuchow,51.74558, 15.59492
Kozy,49.84756, 19.14891
Krakow,50.06143, 19.93658
Krapkowice,50.47515, 17.96539
Krasnik,50.9236, 22.22706
Krasnystaw,50.98464, 23.1742
Krosno,49.68866, 21.77058
Krosno Odrzanskie,52.05492, 15.09882
Krotoszyn,51.69868, 17.43738
Kruszwica,52.67562, 18.33131
Krynica Zdroj,49.42225, 20.95942
Krzeszowice,50.14248, 19.63223
Kudowa Zdroj,50.44297, 16.24397
Kutno,52.23064, 19.36409
Kwidzyn,53.72495, 18.93114
Ladek Zdroj,50.34371, 16.87946
Lancut,50.06871, 22.22912
Lapy,52.9911, 22.88422
Lask,51.59056, 19.13278
Laziska Gorne,50.14952, 18.84215
Lazy,50.42769, 19.39465
Lebork,54.53921, 17.75012
Leczna,51.30121, 22.88135
Leczyca,52.05959, 19.19972
Ledziny,50.14264, 19.13149
Legionowo,52.40149, 20.92664
Legnica,51.21006, 16.1619
Lesko,49.4701, 22.33042
Leszno,51.84034, 16.57494
Lesznowola,52.09095, 20.93479
Lewin Brzeski,50.7487, 17.61688
Lezajsk,50.26257, 22.41932
Libiaz,50.10396, 19.31568
Lidzbark,53.26283, 19.82663
Lidzbark Warminski,54.12588, 20.57954
Limanowa,49.70594, 20.42204
Lipno,52.84436, 19.17852
Lipsko,51.15954, 21.64933
Lobez,53.63918, 15.62129
Lochow,52.53076, 21.68158
Lodygowice,49.72992, 19.13939
Lodz,51.75, 19.46667
Lomianki,52.33413, 20.88602
Lomza,53.17806, 22.05935
Losice,52.21129, 22.71801
Lowicz,52.10714, 19.94525
Lubaczow,50.157, 23.12339
Luban,51.12014, 15.28768
Lubartow,51.46026, 22.60952
Lubawa,53.50428, 19.74966
Lubawka,50.70456, 16.00026
Lubin,51.40089, 16.20149
Lublin,51.25, 22.56667
Lubliniec,50.66897, 18.6844
Lubon,52.34705, 16.89267
Lubsko,51.78467, 14.97196
Ludwin,51.34605, 22.90581
Lukow,51.929, 22.37956
Luzino,54.56604, 18.10907
Lwowek Slaski,51.11074, 15.58582
Makow Mazowiecki,52.86493, 21.10053
Makow Podhalanski,49.73008, 19.67711
Malbork,54.03591, 19.0266
Malkinia Gorna,52.6922, 22.02836
Marki,52.32065, 21.10474
Marklowice,50.01695, 18.52098
Miasteczko Slaskie,50.50262, 18.93949
Miastko,54.00283, 16.98263
Miechow,50.35648, 20.02788
Miedzychod,52.59882, 15.89696
Miedzyrzec Podlaski,51.9864, 22.78248
Miedzyrzecz,52.44461, 15.57801
Miedzyzdroje,53.92921, 14.45097
Mielec,50.28709, 21.4239
Mikolow,50.17103, 18.9041
Milanowek,52.11879, 20.67155
Milicz,51.5277, 17.27137
Minsk Mazowiecki,52.17935, 21.57251
Mlawa,53.11278, 20.3841
Mogilno,52.65806, 17.95578
Mokotow,52.1934, 21.03487
Monki,53.40496, 22.79791
Morag,53.91711, 19.92602
Mosina,52.24543, 16.84709
Mragowo,53.86437, 21.30507
Mszana Dolna,49.67432, 20.07992
Mszczonow,51.97415, 20.52083
Murcki,50.20036, 19.04351
Murowana Goslina,52.57463, 17.00933
Muszyna,49.35661, 20.89718
Myslakowice,50.84123, 15.77894
Myslenice,49.83383, 19.9383
Mysliborz,52.92382, 14.86785
Myslowice,50.20745, 19.16668
Myszkow,50.5752, 19.32461
Nadarzyn,52.09438, 20.80776
Naklo Nad Notecia,53.14214, 17.60181
Namyslow,51.07592, 17.72284
Nasielsk,52.58887, 20.80553
Nidzica,53.36052, 20.42749
Niedobczyce,50.0654, 18.49531
Niemodlin,50.642, 17.61932
Niepolomice,50.04066, 20.22257
Nisko,50.51987, 22.13968
Nowa Deba,50.42974, 21.75078
Nowa Ruda,50.58008, 16.50164
Nowa Sarzyna,50.32086, 22.34456
Nowa Sol,51.80333, 15.71702
Nowe,53.64906, 18.72716
Nowe Miasto Lubawskie,53.42079, 19.59515
Nowogard,53.67437, 15.1163
Nowogrod Bobrzanski,51.79856, 15.2352
Nowy Dwor Gdanski,54.21305, 19.11771
Nowy Dwor Mazowiecki,52.43022, 20.71652
Nowy Sacz,49.62177, 20.69705
Nowy Targ,49.47783, 20.03228
Nowy Tomysl,52.3195, 16.12844
Nysa,50.47379, 17.33437
Oborniki,52.64739, 16.81406
Oborniki Slaskie,51.30137, 16.91465
Ochota,52.22096, 20.98526
Olawa,50.9466, 17.2926
Olecko,54.03374, 22.50704
Olesnica,51.21338, 17.38986
Olesno,50.87698, 18.42094
Oleszyce,50.1675, 23.03481
Olkusz,50.2813, 19.56503
Olsztyn,53.77995, 20.49416
Olsztynek,53.58374, 20.28471
Opalenica,52.30887, 16.41278
Opatow,50.80058, 21.42538
Opoczno,51.37569, 20.27827
Opole,50.67211, 17.92533
Opole Lubelskie,51.14775, 21.96897
Orneta,54.11483, 20.13328
Ornontowice,50.19377, 18.75435
Orzesze,50.15595, 18.77923
Orzysz,53.80967, 21.94811
Osiek,49.95067, 19.26444
Ostroda,53.69671, 19.96486
Ostroleka,53.08621, 21.57566
Ostrow Mazowiecka,52.80245, 21.89507
Ostrow Wielkopolski,51.65501, 17.80686
Ostrowiec Swietokrzyski,50.92936, 21.38525
Ostrzeszow,51.4264, 17.93355
Oswiecim,50.03437, 19.21037
Otmuchow,50.46627, 17.17348
Otwock,52.10577, 21.26129
Ozarow Mazowiecki,52.21039, 20.79716
Ozimek,50.67944, 18.2137
Ozorkow,51.96336, 19.29139
Pabianice,51.66446, 19.35473
Paczkow,50.46395, 17.00658
Pajeczno,51.14449, 18.99612
Parczew,51.64021, 22.90057
Paslek,54.0616, 19.65932
Pawlowice,49.96127, 18.71778
Pelplin,53.92834, 18.6977
Piaseczno,52.0814, 21.02397
Piastow,52.18435, 20.83952
Piechowice,50.84963, 15.59887
Piekary Slaskie,50.38017, 18.92653
Pieszyce,50.71287, 16.58232
Pila,53.15145, 16.73782
Pilawa Gorna,50.68357, 16.74359
Pinczow,50.52052, 20.52649
Pionki,51.47604, 21.44995
Piotrkow Trybunalski,51.40547, 19.70321
Pisz,53.62744, 21.81253
Pleszew,51.89636, 17.78549
Plock,52.54682, 19.70638
Plonsk,52.62348, 20.37552
Pniewy,52.50943, 16.25668
Pobiedziska,52.47753, 17.28767
Poddebice,51.89344, 18.9573
Polanica Zdroj,50.40373, 16.51271
Polaniec,50.43324, 21.2812
Polczyn Zdroj,53.76424, 16.09574
Police,53.55214, 14.57182
Polkowice,51.50391, 16.07261
Poniatowa,51.17983, 22.13093
Poreba,50.48831, 19.33903
Poznan,52.40692, 16.92993
Prabuty,53.755, 19.20547
Praga Polnoc,52.25443, 21.03472
Praga Poludnie,52.24424, 21.08545
Praszka,51.05375, 18.45317
Prudnik,50.32124, 17.57461
Pruszcz Gdanski,54.26217, 18.63625
Pruszkow,52.17072, 20.81214
Przasnysz,53.01907, 20.88029
Przemysl,49.78498, 22.76728
Przeworsk,50.05912, 22.49408
Pszczyna,49.98037, 18.95382
Pszow,50.03994, 18.39472
Puck,54.7179, 18.40841
Pulawy,51.41655, 21.96939
Pultusk,52.7025, 21.08276
Puszczykowo,52.2857, 16.84925
Pyrzyce,53.1462, 14.89257
Pyskowice,50.4, 18.63333
Rabka Zdroj,49.60889, 19.96654
Raciborz,50.09195, 18.21928
Radlin,50.0502, 18.47626
Radom,51.40253, 21.14714
Radomsko,51.06713, 19.44477
Radymno,49.9472, 22.82375
Radziejow,52.62481, 18.52771
Radzionkow,50.40026, 18.90232
Radzymin,52.41592, 21.18415
Radzyn Podlaski,51.78333, 22.61667
Rakszawa,50.16051, 22.23907
Raszyn,52.15603, 20.9226
Rawa Mazowiecka,51.76437, 20.25493
Rawicz,51.60946, 16.85852
Reda,54.60528, 18.34717
Rembertow,52.26059, 21.16355
Reszel,54.05042, 21.14585
Rogozno,52.75226, 16.99049
Ropczyce,50.05229, 21.60891
Ruda Slaska,50.2584, 18.85632
Rudnik Nad Sanem,50.44152, 22.24856
Rumia,54.57092, 18.38802
Rybnik,50.09713, 18.54179
Rydultowy,50.05857, 18.41703
Ryki,51.62574, 21.93274
Rypin,53.06603, 19.40941
Rzepin,52.3464, 14.83227
Rzeszow,50.04132, 21.99901
Sandomierz,50.68265, 21.74898
Sanok,49.55573, 22.2056
Siedlce,52.16772, 22.29006
Siemianowice Slaskie,50.32738, 19.02901
Siemiatycze,52.42719, 22.86231
Sieradz,51.59584, 18.73023
Sierpc,52.8568, 19.66913
Skarzysko Kamienna,51.11311, 20.87162
Skawina,49.97524, 19.82869
Skierniewice,51.95485, 20.15837
Skoczow,49.80089, 18.7877
Slawno,54.36276, 16.67888
Slubice,52.35088, 14.56065
Slupca,52.28733, 17.87192
Slupsk,54.46405, 17.02872
Sochaczew,52.22944, 20.23838
Sokolka,53.40715, 23.50228
Sokolow Podlaski,52.40677, 22.25307
Solec Kujawski,53.08371, 18.22572
Sopot,54.4418, 18.56003
Sosnowiec,50.28682, 19.10385
Srem,52.08868, 17.01508
Sroda Wielkopolska,52.22843, 17.27617
Srodmiescie,52.22904, 21.01644
Stalowa Wola,50.58286, 22.05334
Starachowice,51.0374, 21.07126
Stargard Szczecinski,53.33672, 15.0499
Starogard Gdanski,53.96396, 18.52638
Staszow,50.56307, 21.16593
Strzegom,50.96264, 16.35006
Strzelce Opolskie,50.5107, 18.30056
Strzelin,50.78157, 17.06477
Sulechow,52.08362, 15.62513
Sulejowek,52.25221, 21.26902
Suwalki,54.11175, 22.93087
Swarzedz,52.41289, 17.08503
Swidnica,50.84378, 16.48859
Swidnik,51.21898, 22.69621
Swidwin,53.77464, 15.77671
Swiebodzice,50.85975, 16.3282
Swiebodzin,52.24751, 15.53355
Swiecie,53.40953, 18.44742
Swietochlowice,50.29636, 18.91726
Swinoujscie,53.91053, 14.24712
Szamotuly,52.61201, 16.57794
Szczecin,53.42894, 14.55302
Szczecinek,53.70791, 16.69937
Szczytno,53.56259, 20.98747
Szprotawa,51.56563, 15.53664
Szydlowiec,51.22823, 20.86106
Targowek,52.29185, 21.04845
Tarnobrzeg,50.57304, 21.67937
Tarnow,50.01381, 20.98698
Tarnowskie Gory,50.44548, 18.86147
Tczew,54.09242, 18.77787
Terespol,52.0755, 23.61614
Tluszcz,52.43058, 21.43561
Tomaszow Lubelski,50.44767, 23.41616
Tomaszow Mazowiecki,51.53131, 20.00855
Torun,53.01375, 18.59814
Trzcianka,53.04063, 16.45629
Trzebiatow,54.06147, 15.26475
Trzebinia,50.15931, 19.46966
Trzebnica,51.31076, 17.06331
Trzemeszno,52.56139, 17.82311
Tuchola,53.58792, 17.85905
Tuchow,49.89485, 21.05407
Turek,52.01548, 18.50055
Tuszyn,51.60949, 19.53009
Twardogora,51.36487, 17.46878
Tychy,50.13717, 18.96641
Ursus,52.19517, 20.88419
Ursynow,52.15051, 21.05041
Ustka,54.58048, 16.86194
Ustron,49.72153, 18.80198
Ustrzyki Dolne,49.4304, 22.59381
Wabrzezno,53.27989, 18.94773
Wadowice,49.88335, 19.49292
Wagrowiec,52.80842, 17.19961
Walbrzych,50.77141, 16.28432
Walcz,53.27787, 16.47122
Warka,51.7843, 21.19091
Warsaw,52.22977, 21.01178
Wasilkow,53.19909, 23.20776
Wawer,52.19656, 21.17752
Wegorzewo,54.21567, 21.7372
Wegrow,52.39954, 22.01634
Wejherowo,54.60568, 18.23559
Wesola,52.25451, 21.22407
Wiecbork,53.35384, 17.49064
Wielen,52.89461, 16.17136
Wieliczka,49.98738, 20.06473
Wielki Kack,54.46754, 18.4881
Wielun,51.22097, 18.56964
Wieprz,49.89093, 19.35688
Wieruszow,51.29488, 18.15547
Wilanow,52.16311, 21.08748
Wilkowice,49.76282, 19.08973
Wisla,49.65629, 18.8591
Witkowo,52.43964, 17.77264
Witnica,52.67318, 14.89765
Wladyslawowo,54.79086, 18.4009
Wlochy,52.17941, 20.94612
Wloclawek,52.64817, 19.0678
Wlodawa,51.55, 23.55
Wloszczowa,50.85256, 19.96593
Wodzislaw Slaski,50.00377, 18.47205
Wojkowice,50.36509, 19.03652
Wola,52.2401, 20.98869
Wolbrom,50.37957, 19.75831
Wolczyn,51.01845, 18.04994
Wolin,53.84214, 14.61465
Wolomin,52.34006, 21.24207
Wolow,51.33656, 16.64429
Wolsztyn,52.11552, 16.11712
Wroclaw,51.1, 17.03333
Wronki,52.71051, 16.38044
Wrzesnia,52.32512, 17.56519
Wschowa,51.80705, 16.31663
Wyrzysk,53.153, 17.26802
Wysokie Mazowieckie,52.91661, 22.51712
Wyszkow,52.59278, 21.4584
Zabki,52.29271, 21.10539
Zabkowice Slaskie,50.58969, 16.81239
Zabrze,50.32492, 18.78576
Zagan,51.61759, 15.31486
Zagorz,49.51457, 22.26706
Zakopane,49.29899, 19.94885
Zambrow,52.9855, 22.24319
Zamosc,50.72314, 23.25196
Zarow,50.94116, 16.49466
Zary,51.64205, 15.13727
Zawadzkie,50.60503, 18.48467
Zawiercie,50.48766, 19.41679
Zawoja,49.64396, 19.54227
Zbaszyn,52.2509, 15.9252
Zbaszynek,52.24315, 15.81654
Zdunska Wola,51.59915, 18.93974
Zdzieszowice,50.42482, 18.12349
Zebrzydowice,49.87793, 18.61127
Zelow,51.46452, 19.21972
Zgierz,51.85561, 19.40623
Zgorzelec,51.14942, 15.00835
Ziebice,50.60122, 17.04065
Zielona Gora,51.93548, 15.50643
Zielonka,52.30376, 21.16018
Zlocieniec,53.53286, 16.01132
Zlotoryja,51.12637, 15.91979
Zlotow,53.36346, 17.04082
Zmigrod,51.46672, 16.90564
Znin,52.84958, 17.71992
Zoliborz,52.26896, 20.98644
Zolynia,50.162, 22.30825
Zory,50.04523, 18.70062
Zukowo,54.3422, 18.36476
Zuromin,53.06611, 19.90894
Zwolen,51.35542, 21.58768
Zychlin,52.24404, 19.62613
Zyrardow,52.0488, 20.44599
Zywiec,49.68529, 19.19243
