city,latitude,longitude
Krakow Balice port lotniczy,50.0774,19.7876
Krasiczyn,49.776225700000005,22.6521706
Krasnik,50.9236, 22.22706
Krosno,49.68866, 21.77058
Kroscienko,49.4783429,22.668249399999997
Kroscienko nad Dunajcem,49.4457,20.4289
Krynica Morska,54.38,19.4434
Krynica Zdroj,49.42225, 20.95942
Kudowa Zdroj,50.44297, 16.24397
Kwidzyn,53.72495, 18.93114
Katy Rybackie,54.34,19.22950000000003
Klodzko,50.43488, 16.66145
Legnica,51.21006, 16.1619
Lesko,49.4701, 22.33042
Leszno,51.84034, 16.57494
Lubin,51.40089, 16.20149
Lublin,51.25, 22.56667
Lubliniec,50.66897, 18.6844
Lutowiska,49.2506891,22.6954882
Lebork,54.53921, 17.75012
Malbork,54.03591, 19.0266
Medyka,49.8057989,22.937541500000002
Mielno,54.25900649999999,16.0539997
Miedzywodzie,54.0068476,14.695359900000001
Miedzyzdroje,53.92921, 14.45097
Mrzezyno,54.143496999999996,15.290550699999999
Myslenice,49.83383, 19.9383
Mlawa,53.11278, 20.3841
Nidzica,53.36052, 20.42749
Niechorze,54.09536529999999,15.0819989
Nowa Sol,51.80333, 15.71702
Nowa Wies,53.001278799999994,18.7420692
Nowy Sacz,49.62177, 20.69705
Nowy Targ,49.47783, 20.03228
Nysa,50.47379, 17.33437
Olecko,54.03374, 22.50704
Olsztyn,53.77995, 20.49416
Opole,50.67211, 17.92533
Ostrowiec Swietokrzyski,50.92936, 21.38525
Ostroda,53.69671, 19.96486
Osno Lubuskie,52.45513199999999,14.8682003
Oswiecim,50.03437, 19.21037
Piotrkow Trybunalski,51.40547, 19.70321
Pila,53.15145, 16.73782
Pobierowo,54.057080799999994,14.9332546
Pogorzelica,54.447268799999996,17.5574036
Polanica Zdroj,50.40373, 16.51271
Polanczyk,49.372251,22.4298002
Polkowice,51.50391, 16.07261
Port lotniczy Katowice Pyrzowice,50.4712,19.07179999999994
Port lotniczy Warszawa Modlin,52.4513,20.651700000000005
Port lotniczy Wroclaw,51.1076,16.87570000000005
Poznan,52.40692, 16.92993
Polczyn Zdroj,53.76424, 16.09574
Przemysl,49.78498, 22.76728
Przysucha,51.35850429999999,20.6285468
Pustkowo,54.2333333,18.3833333
Pulawy,51.41655, 21.96939
Plock,52.54682, 19.70638
Rabka Zdroj,49.60889, 19.96654
Radom,51.40253, 21.14714
Rewal,54.0820674,15.014192900000001
Rozewie,54.829185200000005,18.3352883
Rybnik,50.09713, 18.54179
Rzeszow,50.04132, 21.99901
Rzeszow Jasionka port lotniczy,50.1109,22.021099999999933
Sandomierz,50.68265, 21.74898
Sanok,49.55573, 22.2056
Sarbinowo,52.6575501,14.6753303
Sieradz,51.59584, 18.73023
Skarzysko Kamienna,51.11311, 20.87162
Solina,44.5467,18.6923622
Sopot,54.4418, 18.56003
Sosnowiec,50.28682, 19.10385
Starogard Gdanski,53.96396, 18.52638
Stegna,54.3286519,19.113063699999998
Strzelce Krajenskie,52.8785255,15.532592499999998
Suwalki,54.11175, 22.93087
Szczawnica,49.4264,20.476200000000066
Szczecin,53.42894, 14.55302
Szczecin Goleniow im. NSZZ Solidarnosc port lotniczy,53.5931,14.894900000000007
Szczecinek,53.70791, 16.69937
Szklarska Poreba,50.8299,15.51819999999998
Sztum,53.919866299999995,19.030538399999998
Sztutowo,54.330086,19.177209
Slubice,52.35088, 14.56065
Slupsk,54.46405, 17.02872
Tarnow,50.01381, 20.98698
Torun,53.01375, 18.59814
Trzesacz,52.76384670000001,15.429816
Ustronie Morskie,54.213598399999995,15.7560763
Ustrzyki Dolne,49.4304, 22.59381
Ustrzyki Gorne,49.1052,22.649200000000068
Warszawa,52.2319237,21.006726500000003
Walbrzych,50.77141, 16.28432
Walcz,53.27787, 16.47122
Wetlina,49.1551784,22.4690026
Wieliczka,49.98738, 20.06473
Wielun,51.22097, 18.56964
Wieruszow,51.29488, 18.15547
Wiselka,53.965052500000006,14.570979999999999
Wroclaw,51.1, 17.03333
Wysowa Zdroj,49.4363096,21.177263600000003
Wyszogrod,52.388399299999996,20.191284600000003
Wladyslawowo,54.79086, 18.4009
Wloclawek,52.64817, 19.0678
Zabrze,50.32492, 18.78576
Zagorz,49.51457, 22.26706
Zakopane,49.29899, 19.94885
Zator,49.996305299999996,19.4376782
Zebrzydowice,49.87793, 18.61127
Zgierz,51.85561, 19.40623
Zgorzelec,51.14942, 15.00835
Zielona Gora,51.93548, 15.50643
Zloty Stok,50.445143,16.8765836
Lazy,50.42769, 19.39465
Leba,54.7585,17.555399999999963
Lomza,53.17806, 22.05935
Lowicz,52.10714, 19.94525
Lukecin,54.0430193,14.8732835
Lodz,51.75, 19.46667
Swidnica,50.84378, 16.48859
Swiebodzin,52.24751, 15.53355
Swiecie,53.40953, 18.44742
Znin,52.84958, 17.71992
Zory,50.04523, 18.70062
Zywiec,49.68529, 19.19243
