museum,city
Muzeum Zachodnio-Kaszubskie,Bytow
Muzeum Kultury Ludowej w Wegorzewie,Wegorzewo
Muzeum Narodowe w Wroclawiu,Wroclaw
Muzeum Zamojskie,Zamosc
Muzeum Papiernictwa w Dusznikach Zdroju,Duszniki Zdroj
Centralne Muzeum Wlokiennictwa w Lodzi,Lodz
Muzeum Architektury we Wroclawiu,Wroclaw
Muzeum Sztuki i Techniki Japonskiej Manggha,Krakow
Muzeum Wsi Mazowieckiej w Sierpcu,Sierpc
Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie,Krakow
Muzeum Okregowe w Suwalkach,Suwalki
Muzeum Historyczne Miasta Gdanska,Gdansk
Muzeum Romantyzmu w Opinogorze,Opinogora Gorna
Muzeum Historyczne w Bielsku-Bialej,Bielsko-Biala
Muzeum Wojska w Bialymstoku,Bialystok
Muzeum Dawnego Kupiectwa w Swidnicy,Swidnica
Muzeum Historii Zydow Polskich POLIN,Warsaw
Muzeum Fryderyka Chopina w Warszawie,Warsaw
Gornoslaski Park Etnograficzny w Chorzowie,Chorzow
